Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-07-13 0:00:00,9304.94,9351.17,9190.49,9233.1,3875.17,35960270.75,9279.66
2020-07-14 0:00:00,9234.19,9282.08,9095,9251.59,4479.91,41285831.29,9215.77
2020-07-15 0:00:00,9256.33,9276.98,9153.38,9190.07,3810.05,35100830.99,9212.7
2020-07-16 0:00:00,9191,9217.5,9026.51,9132.87,5541.85,50474457.26,9107.87
2020-07-17 0:00:00,9134.44,9184.28,9073.53,9156.5,3593.5,32814246.99,9131.56
2020-07-18 0:00:00,9150.51,9214.63,9122.72,9177.43,1358.29,12449177.45,9165.36
2020-07-19 0:00:00,9175.7,9243.36,9106.3,9211.99,1585.4,14518309.98,9157.51
2020-07-20 0:00:00,9213.15,9224.73,9128.21,9162.43,3064.81,28118444.21,9174.62
2020-07-21 0:00:00,9161.77,9442.89,9152.23,9391.25,5559.47,51926108.51,9340.11
2020-07-22 0:00:00,9395.98,9573,9280.8,9539.51,5520.76,51836755.69,9389.42
2020-07-23 0:00:00,9537.23,9690,9453.38,9617.2,10413.94,99406145.74,9545.49
2020-07-24 0:00:00,9614.85,9650.55,9474.35,9547.91,8012.91,76622832.6,9562.43
2020-07-25 0:00:00,9549.34,9751.82,9532.79,9710.98,5065.45,48814031.53,9636.66
2020-07-26 0:00:00,9712.45,10200,9657,9944.65,9090.21,90135501.79,9915.66
2020-07-27 0:00:00,9941.25,11417.11,9933.77,11046.19,27736.83,292753089.6,10554.67
2020-07-28 0:00:00,11049.4,11263.85,10583.48,10939.27,17062.37,187091285.1,10965.14
2020-07-29 0:00:00,10931.91,11358.47,10855.81,11111.17,12452.86,138589548,11129.13
2020-07-30 0:00:00,11105.01,11189,10832,11112.12,10456.85,115275100.4,11023.89
2020-07-31 0:00:00,11110.84,11457.95,10973.8,11356.74,10417.51,117100831.2,11240.77
2020-08-01 0:00:00,11357.98,11883.36,11228,11817.49,11195.81,130224577.6,11631.55
2020-08-02 0:00:00,11808.21,12100,10559.59,11071.66,12656.41,142785762.4,11281.69
2020-08-03 0:00:00,11074.92,11480,10933.26,11236.39,6984.67,78813104.71,11283.73
2020-08-04 0:00:00,11236.39,11420,11000.79,11192.42,5522.11,61940578.47,11216.83
2020-08-05 0:00:00,11193.48,11795.86,11094.35,11755.24,7514.79,86847559.79,11556.88
2020-08-06 0:00:00,11759.9,11913.5,11575.57,11770.08,9855.99,115864299.6,11755.72
2020-08-07 0:00:00,11770.26,11920,11219,11600.85,10503.36,122342727.4,11647.96
2020-08-08 0:00:00,11601.75,11817.95,11527,11776.9,3983.75,46582799.67,11693.21
2020-08-09 0:00:00,11767.93,11808.28,11527.92,11683.03,2649.49,30909847.9,11666.34
2020-08-10 0:00:00,11684.6,12080,11510,11895.12,7701.73,91514254.01,11882.3
2020-08-11 0:00:00,11896.37,11945.05,11130,11392.64,10470.69,120956546.5,11551.92
2020-08-12 0:00:00,11386.5,11625,11150,11565.35,5668.6,64989838.17,11464.88
2020-08-13 0:00:00,11567.74,11806.61,11270.91,11793.26,6839.55,78891169.32,11534.55
2020-08-14 0:00:00,11797.55,11862,11652.01,11779.77,5526.8,64934759.24,11749.08
2020-08-15 0:00:00,11771.97,11986.93,11667.7,11852.2,3983.18,47294347.31,11873.53
2020-08-16 0:00:00,11858.6,11938.55,11685.97,11914.02,2494.17,29525249.63,11837.71
2020-08-17 0:00:00,11916.83,12473,11771.44,12298.38,9778.33,118965074.5,12166.2
2020-08-18 0:00:00,12301.27,12408.53,11823,11958.1,8818.19,106555723.9,12083.63
2020-08-19 0:00:00,11950,12022.18,11574.4,11757.55,9401.5,110701737,11774.9
2020-08-20 0:00:00,11762.18,11894.12,11675.29,11859.37,4191.76,49473772.45,11802.63
2020-08-21 0:00:00,11857.18,11887.67,11485.49,11531.74,6391.18,74905546.02,11720.14
2020-08-22 0:00:00,11527.81,11694.02,11367,11667.7,3401.42,39269409.68,11545
2020-08-23 0:00:00,11678.17,11715.09,11524.7,11644.65,1632.87,18977422.92,11622.12
2020-08-24 0:00:00,11653.7,11832.55,11588.61,11761.8,2887.06,33911948.54,11746.2
2020-08-25 0:00:00,11750.4,11772.22,11112.75,11328.88,7073.69,80762613.33,11417.32
2020-08-26 0:00:00,11328.5,11549.8,11250.14,11469.3,4273.08,48637801.86,11382.38
2020-08-27 0:00:00,11462.91,11602.92,11122.72,11330,7796.16,88467523.2,11347.58
2020-08-28 0:00:00,11332.26,11555.61,11277.95,11536.58,6046.5,69254870.55,11453.72
2020-08-29 0:00:00,11538.74,11592,11423.64,11471.71,2095.94,24123105.95,11509.47
2020-08-30 0:00:00,11471.71,11715.69,11458.62,11708.97,2328.66,27068361.45,11624.02
2020-08-31 0:00:00,11713.11,11780,11573.39,11655,4534.22,52999207.96,11688.72
2020-09-01 0:00:00,11658.48,12065.82,11515,11923.96,7960.82,94697974.81,11895.5
2020-09-02 0:00:00,11919.53,11956.45,11155.32,11398.44,13056.07,149589893.2,11457.5
2020-09-03 0:00:00,11395.1,11477.35,9987.86,10160,18554.73,199600735.8,10757.4
2020-09-04 0:00:00,10160,10646.75,9902.43,10456.32,17415.36,180567453.4,10368.29
2020-09-05 0:00:00,10460.2,10567.9,9850,10167.19,12165.47,124026091,10194.93
2020-09-06 0:00:00,10165.47,10353.39,10000,10260.17,5121.25,52194906.94,10191.83
2020-09-07 0:00:00,10258.43,10415.66,9880,10377.14,8725.09,88189272.89,10107.55
2020-09-08 0:00:00,10377.5,10446.18,9825.07,10123.96,10560.87,106644193.9,10098.05
2020-09-09 0:00:00,10126.01,10353.39,9981.38,10232.8,5872.22,59881808.62,10197.47
2020-09-10 0:00:00,10221.76,10495.75,10220,10342.59,10223.19,105719876.6,10341.18
2020-09-11 0:00:00,10341.38,10409.44,10200.5,10393.04,5245.74,54033653.85,10300.48
2020-09-12 0:00:00,10400.46,10482.42,10275,10443.33,2509.24,26026019.88,10372.07
2020-09-13 0:00:00,10446.4,10576.78,10214.9,10334.78,4325.11,44764868.74,10350.01
2020-09-14 0:00:00,10338.82,10765.03,10250.13,10675.15,7325.23,77266025.82,10547.93
2020-09-15 0:00:00,10671.4,10940.01,10611.17,10783.83,6456.66,69707532.15,10796.22
2020-09-16 0:00:00,10785,11100,10662.81,10951.54,8300.24,90789916.42,10938.23
2020-09-17 0:00:00,10950.15,11054,10739.23,10940.47,5525.72,60068052.25,10870.63
2020-09-18 0:00:00,10947.35,11040.18,10816.54,10931.2,4398.92,48037947.48,10920.38
2020-09-19 0:00:00,10935.49,11183.01,10890.53,11077.22,2253.35,24883441.33,11042.86
2020-09-20 0:00:00,11070.84,11079.25,10755.9,10923.5,3250.02,35438004.62,10903.94
2020-09-21 0:00:00,10921.53,10996.98,10286.56,10411.29,9948.02,105170547.9,10572.01
2020-09-22 0:00:00,10418.83,10573.05,10353.39,10534.31,4800.6,50241913.21,10465.76
2020-09-23 0:00:00,10525.72,10541.39,10138.3,10233.42,5711.36,59279113.12,10379.16
2020-09-24 0:00:00,10236.86,10795.53,10193.2,10744.02,6703.92,70427765.15,10505.46
2020-09-25 0:00:00,10738.46,10762.65,10553.14,10689.81,6346.72,67663104.89,10661.11
2020-09-26 0:00:00,10694.23,10830,10655.29,10729.09,2550.32,27347735.93,10723.27
2020-09-27 0:00:00,10731.09,10807.14,10593.58,10780.66,2286.86,24496017.09,10711.63
2020-09-28 0:00:00,10779.99,10950,10628.52,10689.48,4991.57,54261165.88,10870.56
2020-09-29 0:00:00,10681.41,10865,10636.66,10836.42,4029.39,43240291.78,10731.22
2020-09-30 0:00:00,10840,10847.5,10658.56,10778.22,4304.62,46247317.6,10743.64
2020-10-01 0:00:00,10780.83,10940.22,10437.08,10622.71,8678.35,92766078.67,10689.37
2020-10-02 0:00:00,10611.17,10667.53,10380,10578.54,8333.46,87627773.65,10515.17
2020-10-03 0:00:00,10571.6,10605.79,10500,10553.66,1134.8,11975845.62,10553.29
2020-10-04 0:00:00,10543.17,10699.88,10524.81,10669.63,1057.78,11238120.45,10624.3
2020-10-05 0:00:00,10666.16,10805.82,10620.71,10795,3618.02,38756784.1,10712.17
2020-10-06 0:00:00,10797.36,10801.86,10525,10606.33,4800.7,51103858.73,10645.1
2020-10-07 0:00:00,10602.31,10682.56,10547.71,10669.14,5560.25,59068239.87,10623.31
2020-10-08 0:00:00,10669.1,10957,10535.06,10925.2,6969.04,75109562.94,10777.6
2020-10-09 0:00:00,10927.02,11118.49,10826.4,11052,5355.34,58978316.71,11012.99
2020-10-10 0:00:00,11060.46,11496.06,11059.62,11301.2,3270.37,37090500.87,11341.38
